0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:36 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:39 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2752
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:39 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:39 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:39 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:39 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:40 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:40 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:40 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:40 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:44:40 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:50 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:50:51 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:25 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [10/Apr/2015:15:51:26 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 200 1245
