127.0.0.1 - - [27/Apr/2015:20:08:11 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:16 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:20 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/img/escudo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/img/icon/ie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/img/icon/mozilla.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/img/icon/chrome.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:21 -0500] "GET /Intranet/img/icon/safari.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:22 -0500] "GET /Intranet/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:35 -0500] "POST /Intranet/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:35 -0500] "GET /Intranet/recuperar.jsp HTTP/1.1" 200 3539
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:38 -0500] "POST /Intranet/Recuperar HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:44 -0500] "POST /Intranet/Recuperar HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:54 -0500] "POST /Intranet/Recuperar HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:08:58 -0500] "POST /Intranet/Recuperar HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:10 -0500] "POST /Intranet/Recuperar HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:50 -0500] "GET /Intranet/index.jsp HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:59 -0500] "POST /Intranet/Login HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:59 -0500] "GET /Intranet/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:59 -0500] "GET /Intranet/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:59 -0500] "GET /Intranet/js/jquery-latest.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:09:59 -0500] "GET /Intranet/img/img_portada.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:01 -0500] "GET /Intranet/horario_cursos.jsp HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/informacion_cursos.jsp HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/educacion_trabajo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/matematica.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/historia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/familia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/comunicacion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/ciencia.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/civica.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/educacion_fisica.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/religion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/ingles.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/tutoria.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:20:10:03 -0500] "GET /Intranet/img/cursos/arte.png HTTP/1.1" 304 -
